STATE_FISCAL_YEAR,COUNTY_NAME,PROVIDER_TYPE,FAC_FDR,COUNT
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,10
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,762
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,20
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,434
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,4355
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,2718
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,13
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,3267
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,32
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,4
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,95
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,980
SFY2015-16,ALAMEDA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,3
SFY2015-16,ALAMEDA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,1
SFY2015-16,ALAMEDA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,37
SFY2015-16,ALAMEDA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,0
SFY2015-16,ALAMEDA,LONG-TERM CARE,SKILLED NURSING FACILITY,75
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,4
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,10
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,0
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,2
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,30
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,0
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,18
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,70
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,HOSPICE,25
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,HOSPICE FACILITY,0
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,94
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,5
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,REFERRAL AGENCY,0
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,REHABILITATION CLINIC,2
SFY2015-16,ALAMEDA,NON-LONG-TERM CARE,SURGICAL CLINIC,21
SFY2015-16,AMADOR,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,0
SFY2015-16,AMADOR,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,0
SFY2015-16,AMADOR,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,0
SFY2015-16,AMADOR,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,0
SFY2015-16,AMADOR,LONG-TERM CARE,SKILLED NURSING FACILITY,1
SFY2015-16,AMADOR,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,1
SFY2015-16,AMADOR,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,1
SFY2015-16,AMADOR,NON-LONG-TERM CARE,HOME HEALTH AGENCY,2
SFY2015-16,AMADOR,NON-LONG-TERM CARE,HOSPICE,1
SFY2015-16,AMADOR,NON-LONG-TERM CARE,HOSPICE FACILITY,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,1
SFY2015-16,AMADOR,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,0
SFY2015-16,AMADOR,NON-LONG-TERM CARE,REFERRAL AGENCY,0
